sample,fastq1,fastq2
105603_P005_WA09_GEODE8083_Coenagrionidae_Argia_medullaris,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA09_i5-1097_i7-36_S13715_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA09_i5-1097_i7-36_S13715_L002_R2_001.fastq.gz
105603_P005_WA10_GEODE8084_Coenagrionidae_Ischnura_stueberi,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA10_i5-1097_i7-54_S13716_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA10_i5-1097_i7-54_S13716_L002_R2_001.fastq.gz
105603_P005_WB01_GEODE8087_Coenagrionidae_Metaleptobasis_gibbosa,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WB01_i5-1097_i7-31_S13719_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WB01_i5-1097_i7-31_S13719_L002_R2_001.fastq.gz
105603_P005_WC07_GEODE8105_Coenagrionidae_Drepanoneura_tennesseni,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WC07_i5-1097_i7-62_S13705_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WC07_i5-1097_i7-62_S13705_L002_R2_001.fastq.gz
105603_P005_WD07_GEODE8117_Coenagrionidae_Teinobasis_fortis,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WD07_i5-1097_i7-86_S13829_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WD07_i5-1097_i7-86_S13829_L002_R2_001.fastq.gz
105603_P005_WD08_GEODE8118_Coenagrionidae_Neoneura_bilinearis,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WD08_i5-1097_i7-80_S13830_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WD08_i5-1097_i7-80_S13830_L002_R2_001.fastq.gz
105603_P005_WD09_GEODE8119_Platycnemididae_Coeliccia_renifera,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WD09_i5-1097_i7-64_S13831_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WD09_i5-1097_i7-64_S13831_L002_R2_001.fastq.gz
105603_P006_WD02_GEODE8203_Platystictidae_Protosticta_marenae,fastq/RAPiD-Genomics_F373_BYU_105603_P006_WD02_i5-1098_i7-72_S13664_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P006_WD02_i5-1098_i7-72_S13664_L002_R2_001.fastq.gz
105603_P006_WD04_GEODE8205_Platystictidae_Protosticta_pariwonoi,fastq/RAPiD-Genomics_F373_BYU_105603_P006_WD04_i5-1098_i7-91_S13666_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P006_WD04_i5-1098_i7-91_S13666_L002_R2_001.fastq.gz
105603_P007_WD01_GEODE8276_Coenagrionidae_Argia_orichalcea,fastq/RAPiD-Genomics_F373_BYU_105603_P007_WD01_i5-1099_i7-52_S13599_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P007_WD01_i5-1099_i7-52_S13599_L002_R2_001.fastq.gz
105603_P019_WD01_GEODE8372_Platystictidae_Drepanosticta_sundana,fastq/RAPiD-Genomics_F375_BYU_105603_P019_WD01_i5-1101_i7-52_S12765_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P019_WD01_i5-1101_i7-52_S12765_L002_R2_001.fastq.gz
105603_P020_WA08_GEODE8432_Platycnemididae_Indocnemis_orang,fastq/RAPiD-Genomics_F375_BYU_105603_P020_WA08_i5-1102_i7-16_S12832_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P020_WA08_i5-1102_i7-16_S12832_L002_R2_001.fastq.gz
105603_P020_WE04_GEODE8476_Argiolestidae_Nesolestes_pulverulans,fastq/RAPiD-Genomics_F375_BYU_105603_P020_WE04_i5-1102_i7-21_S12876_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P020_WE04_i5-1102_i7-21_S12876_L002_R2_001.fastq.gz
105603_P020_WE05_GEODE8477_Argiolestidae_Podolestes_atomarius,fastq/RAPiD-Genomics_F375_BYU_105603_P020_WE05_i5-1102_i7-94_S12877_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P020_WE05_i5-1102_i7-94_S12877_L002_R2_001.fastq.gz
